                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.81352,                0.64153,                 1.1119,                0.89701,                0.72271,                 1.1205,                0.77112,                 0.7207,                0.76405,                0.57406,                0.90206,                0.83772,                 1.1103,                0.96745,                 1.0008,                 1.1098,              0.0010949,              0.0010949,              0.0010949
                     55,                0.83144,                0.65176,                 1.1209,                0.92144,                0.73324,                 1.1329,                0.82338,                0.70813,                0.80447,                0.58951,                 0.9176,                0.70633,                 1.1314,                0.98336,                0.87104,                 1.1311,              0.0010839,              0.0010839,              0.0010839
                     56,                0.81019,                0.63445,                 1.1126,                0.89207,                0.72529,                  1.116,                0.85757,                0.67348,                0.79894,                  0.603,                0.92219,                0.76028,                 1.1427,                0.98869,                0.95002,                 1.1381,              0.0010729,              0.0010729,              0.0010729
                     57,                0.76851,                0.62447,                 1.0814,                0.88944,                0.73194,                 1.1049,                0.75667,                 0.7532,                0.78739,                0.59207,                0.87405,                0.86073,                 1.0924,                0.95402,                 1.1214,                 1.0993,              0.0010619,              0.0010619,              0.0010619
                     58,                0.82572,                  0.697,                 1.1162,                0.91107,                0.79002,                 1.1316,                0.81627,                0.71247,                0.81153,                 0.6051,                0.92551,                0.73491,                 1.1346,                0.98375,                0.91939,                 1.1103,              0.0010509,              0.0010509,              0.0010509
                     59,                0.78789,                0.60904,                 1.0977,                0.86811,                0.68874,                 1.1063,                0.84751,                 0.7416,                0.82143,                0.62313,                0.90542,                0.72151,                 1.1045,                 0.9767,                0.87914,                 1.1167,              0.0010399,              0.0010399,              0.0010399
                     60,                0.78855,                0.60663,                 1.0913,                0.86036,                0.68722,                 1.0961,                0.77174,                0.74287,                0.79065,                0.58822,                0.91198,                0.78012,                 1.1162,                0.98827,                0.95574,                 1.1184,              0.0010289,              0.0010289,              0.0010289
                     61,                0.77075,                0.59685,                  1.084,                 0.8561,                  0.676,                 1.0945,                0.79091,                0.76233,                0.79126,                0.58627,                0.91248,                0.72859,                 1.1232,                 1.0026,                0.90512,                  1.131,              0.0010179,              0.0010179,              0.0010179
                     62,                 0.7667,                0.58367,                 1.0947,                0.84557,                0.65657,                 1.1064,                0.81991,                0.73868,                0.82333,                 0.6167,                0.90596,                0.67412,                 1.1165,                0.96426,                0.81415,                  1.104,              0.0010069,              0.0010069,              0.0010069
                     63,                0.78266,                0.67499,                 1.0983,                0.86835,                0.70975,                 1.1047,                0.83491,                0.79866,                0.84419,                 0.6493,                0.87029,                0.64044,                  1.079,                0.93259,                0.74866,                 1.0869,             0.00099587,             0.00099587,             0.00099587
                     64,                0.79264,                0.61647,                 1.0836,                0.87875,                0.69836,                 1.1016,                0.78554,                0.71492,                0.75081,                0.55646,                0.92833,                0.82766,                 1.1287,                 0.9978,                0.98901,                 1.1274,             0.00098486,             0.00098486,             0.00098486
                     65,                 0.7915,                0.61252,                 1.1162,                0.86717,                0.68114,                 1.1271,                0.81063,                0.74407,                0.79525,                0.59457,                0.92714,                0.74518,                 1.1445,                0.99739,                0.83747,                 1.1482,             0.00097386,             0.00097386,             0.00097386
                     66,                0.78719,                 0.6344,                 1.0845,                0.89087,                0.72729,                 1.0986,                0.83385,                 0.7445,                0.82494,                0.61314,                0.92331,                0.68703,                 1.1574,                0.97759,                0.79775,                  1.146,             0.00096286,             0.00096286,             0.00096286
                     67,                0.75874,                0.57497,                 1.0656,                0.83036,                0.64551,                  1.073,                0.79633,                0.77157,                0.81399,                0.61626,                0.90396,                0.69871,                 1.1115,                0.97546,                0.83035,                 1.1055,             0.00095186,             0.00095186,             0.00095186
                     68,                0.77633,                0.61592,                 1.1322,                0.84591,                0.71067,                 1.1384,                 0.8669,                0.70806,                0.83679,                0.61125,                0.96713,                0.69567,                 1.1603,                 1.0484,                0.80123,                 1.1629,             0.00094085,             0.00094085,             0.00094085
                     69,                0.76253,                0.58936,                 1.0807,                0.84441,                0.67655,                 1.0983,                0.81929,                0.73282,                0.81791,                0.60301,                0.92149,                0.72634,                 1.1582,                0.98536,                0.88119,                 1.1391,             0.00092985,             0.00092985,             0.00092985
                     70,                0.74141,                 0.5682,                 1.0498,                0.82125,                0.62932,                 1.0677,                0.77477,                0.80573,                0.84902,                0.63297,                 0.8782,                0.66128,                 1.1041,                0.94002,                0.82051,                 1.0969,             0.00091885,             0.00091885,             0.00091885
                     71,                0.77882,                0.60172,                 1.0809,                0.86816,                0.67919,                 1.0973,                 0.8271,                 0.7426,                0.81839,                0.62619,                0.86351,                0.69813,                 1.1154,                  0.948,                0.83665,                 1.1088,             0.00090785,             0.00090785,             0.00090785
                     72,                0.76778,                0.57526,                 1.0723,                0.84783,                0.62548,                 1.0775,                0.78799,                0.77074,                0.81136,                0.60953,                0.90457,                0.70132,                  1.124,                0.96541,                0.83918,                 1.1172,             0.00089685,             0.00089685,             0.00089685
                     73,                0.72426,                0.56705,                 1.0488,                0.78725,                0.59482,                 1.0516,                0.81741,                0.77149,                0.83034,                0.62454,                0.88911,                0.73841,                 1.1178,                0.93793,                0.88603,                 1.1032,             0.00088584,             0.00088584,             0.00088584
                     74,                0.75213,                 0.5619,                 1.0771,                0.82875,                 0.6115,                 1.0905,                0.78605,                0.76267,                 0.7765,                0.58095,                0.87259,                0.78034,                 1.0938,                0.94814,                0.92693,                 1.0891,             0.00087484,             0.00087484,             0.00087484
                     75,                0.73818,                0.54789,                 1.0757,                0.82282,                 0.6128,                 1.0947,                0.82605,                0.72819,                0.82684,                0.62022,                0.88518,                0.66919,                 1.1037,                0.97357,                0.80152,                 1.1065,             0.00086384,             0.00086384,             0.00086384
